Month,Operating_Costs,Profit_Margin,R&D_Spend
2023-01,154195.83,9.69,57865.0
2023-02,127914.77690288916,9.43,54927.51
2023-03,112935.63,9.2,65446.62
2023-04,121113.5,8.96,75563.89
2023-05,197485.2,8.57,68661.97
2023-06,152589.68,8.26,81788.52
2023-07,151815.14,7.96,97494.18
2023-08,178158.13,7.6,96368.72
2023-09,192822.89,7.21,96774.63
2023-10,155265.93,6.9,109524.14
2023-11,133930.39,6.63,99919.9
2023-12,147299.85,6.34,108160.08
2024-01,113842.64,6.11,115274.56
2024-02,201052.31,5.71,114390.36
2024-03,171417.13,5.37,118861.36
2024-04,162484.49,5.05,137378.64
2024-05,197108.65,4.66,134256.63
2024-06,158105.21,4.34,150169.35
2024-07,260286.99095673524,3.82,157095.74
2024-08,209360.76,3.4,151520.58
2024-09,170881.88,3.06,164159.2
2024-10,211168.5,2.64,194353.45
2024-11,175584.58,2.29,228391.75
2024-12,182720.14,2.0,209212.81
